screen_position,doi,title,year,venue,type,language,url,coder_name,date_screened,E1,E2,note
1682,10.2139/ssrn.4356344,Multi-Source Domain Adaptation with Spatio-Temporal Feature Extractor for EEG Emotion Recognition,2023,SSRN Electronic Journal,preprint,en,https://doi.org/10.2139/ssrn.4356344,,,,,
1683,10.58564/ijser.4.3.2025.323,Harnessing Deep Learning for EEG Emotion Recognition: A Hybrid Approach with Attention Mechanisms,2025,Al-Iraqia Journal of Scientific Engineering Research,article,en,https://doi.org/10.58564/ijser.4.3.2025.323,,,,,
1684,10.1117/12.3092293,EEG emotion recognition based on directed rich club network,2025,,conference-paper,,https://doi.org/10.1117/12.3092293,,,,,
1685,10.3390/sym12010021,Emotion Classification Based on Biophysical Signals and Machine Learning Techniques,2019,Symmetry,article,en,https://doi.org/10.3390/sym12010021,,,,,
1686,,A review of EEG features for emotion recognition,2019,"Institutional Repository of Institute of Psychology, Chinese Academy of Sciences (Institute of Psychology, Chinese Academy of Sciences)",article,中文,,,,,,
1687,10.1109/embc48229.2022.9871720,A Saliency based Feature Fusion Model for EEG Emotion Estimation,2022,2022 44th Annual International Conference of the IEEE Engineering in Medicine &amp; Biology Society (EMBC),conference-paper,en,https://orbi.umons.ac.be/handle/20.500.12907/44361,,,,,
1688,10.1109/icaaic53929.2022.9792986,Group Search Optimizer-based Neural Network for EEG-based Emotion Recognition,2022,2022 International Conference on Applied Artificial Intelligence and Computing (ICAAIC),conference-paper,en,https://doi.org/10.1109/icaaic53929.2022.9792986,,,,,
1689,10.3390/s23187853,Real-Time EEG-Based Emotion Recognition,2023,Sensors,article,en,https://doi.org/10.3390/s23187853,,,,,
1690,10.2174/9789815124453123010013,Emotions Modelling in 3D Space,2023,BENTHAM SCIENCE PUBLISHERS eBooks,book-chapter,en,https://doi.org/10.2174/9789815124453123010013,,,,,
1691,10.1109/access.2025.3526187,Student Engagement Recognition: Comprehensive Analysis Through EEG and Verification by Image Traits Using Deep Learning Techniques,2025,IEEE Access,article,en,https://doi.org/10.1109/access.2025.3526187,,,,,
1692,10.1109/tim.2022.3168927,Fusing Frequency-Domain Features and Brain Connectivity Features for Cross-Subject Emotion Recognition,2022,IEEE Transactions on Instrumentation and Measurement,article,en,https://doi.org/10.1109/tim.2022.3168927,,,,,
1693,10.1109/tencon.2016.7848034,Emotion recognition based on wavelet analysis of Empirical Mode Decomposed EEG signals responsive to music videos,2016,,conference-paper,en,https://doi.org/10.1109/tencon.2016.7848034,,,,,
1694,10.1109/smc53992.2023.10394326,EEG-Based Emotion Analysis Using Person-Event Network,2023,,conference-paper,en,https://doi.org/10.1109/smc53992.2023.10394326,,,,,
1695,10.3390/s20164551,CNN and LSTM-Based Emotion Charting Using Physiological Signals,2020,Sensors,article,en,https://doi.org/10.3390/s20164551,,,,,
1696,10.23919/ccc64809.2025.11179167,Advancing Emotion Recognition with Hybrid-Classical-Quantum Computing: A Deep Adaptation Network Approach,2025,,conference-paper,en,https://doi.org/10.23919/ccc64809.2025.11179167,,,,,
1697,10.33168/jsms.2024.1230,A New Approach for Enhancing Human Emotion Recognition from Electroencephalogram Signals Based on Discrete Wavelet Packet Transform,2024,Journal of System and Management Sciences,article,en,http://doi.org/10.33168/jsms.2024.1230,,,,,
1698,10.3390/s24061979,FC-TFS-CGRU: A Temporal–Frequency–Spatial Electroencephalography Emotion Recognition Model Based on Functional Connectivity and a Convolutional Gated Recurrent Unit Hybrid Architecture,2024,Sensors,article,en,https://doi.org/10.3390/s24061979,,,,,
1699,10.1007/978-3-319-26561-2_12,Enhancing Performance of EEG-based Emotion Recognition Systems Using Feature Smoothing,2015,Lecture notes in computer science,conference-paper,en,https://doi.org/10.1007/978-3-319-26561-2_12,,,,,
1700,10.1109/bibm62325.2024.10821760,MSDA-ACLDR: Multi-source Domain Adaptation Augmented Contrastive Learning with Dual-stream Representations for Emotion Recognition,2024,,conference-paper,en,https://doi.org/10.1109/bibm62325.2024.10821760,,,,,
1701,10.1155/2017/8317357,Emotion Recognition from EEG Signals Using Multidimensional Information in EMD Domain,2017,BioMed Research International,article,en,https://doi.org/10.1155/2017/8317357,,,,,
1702,10.48550/arxiv.2112.09069,Progressive Graph Convolution Network for EEG Emotion Recognition,2021,arXiv (Cornell University),preprint,en,http://arxiv.org/abs/2112.09069,,,,,
1703,10.1038/s41598-025-28470-z,Fusion of EEG feature extraction and CNN-MSTA transformer emotion recognition classification model,2025,Scientific Reports,article,en,https://doi.org/10.1038/s41598-025-28470-z,,,,,
1704,10.1109/tcds.2024.3391131,Minimizing EEG Human Interference: A Study of an Adaptive EEG Spatial Feature Extraction With Deep Convolutional Neural Networks,2024,IEEE Transactions on Cognitive and Developmental Systems,article,en,https://doi.org/10.1109/tcds.2024.3391131,,,,,
1705,10.1117/12.2583588,A study of the effect of training sample size on a pre-trained model of CRNN EEG emotion recognition,2020,,conference-paper,en,https://doi.org/10.1117/12.2583588,,,,,
1706,10.48550/arxiv.1811.07516,Unsupervised Learning in Reservoir Computing for EEG-based Emotion\n Recognition,2018,arXiv (Cornell University),preprint,,http://arxiv.org/abs/1811.07516,,,,,
1707,10.48550/arxiv.2511.13954,A Brain Wave Encodes a Thousand Tokens: Modeling Inter-Cortical Neural Interactions for Effective EEG-based Emotion Recognition,2025,arXiv (Cornell University),preprint,,https://doi.org/10.48550/arxiv.2511.13954,,,,,
1708,10.3390/s24134167,The Effect of Stress on a Personal Identification System Based on Electroencephalographic Signals,2024,Sensors,article,en,https://doi.org/10.3390/s24134167,,,,,
1709,10.1016/j.compbiomed.2024.108857,Enhancing local representation learning through global–local integration with functional connectivity for EEG-based emotion recognition,2024,Computers in Biology and Medicine,article,en,https://doi.org/10.1016/j.compbiomed.2024.108857,,,,,
1710,10.1109/taffc.2021.3064940,Variational Instance-Adaptive Graph for EEG Emotion Recognition,2021,IEEE Transactions on Affective Computing,article,en,https://doi.org/10.1109/taffc.2021.3064940,,,,,
1711,10.1109/tetci.2024.3406422,Comprehensive Multisource Learning Network for Cross-Subject Multimodal Emotion Recognition,2024,IEEE Transactions on Emerging Topics in Computational Intelligence,article,en,https://doi.org/10.1109/tetci.2024.3406422,,,,,
1712,10.3390/s25165066,Multi-Scale Temporal Fusion Network for Real-Time Multimodal Emotion Recognition in IoT Environments,2025,Sensors,article,en,https://doi.org/10.3390/s25165066,,,,,
1713,10.3389/fpsyt.2025.1713559,Multimodal physiological signal emotion recognition based on multi-head cross attention with representation learning,2025,Frontiers in Psychiatry,article,en,https://doi.org/10.3389/fpsyt.2025.1713559,,,,,
1714,10.7717/peerj-cs.2610,CIT-EmotionNet: convolution interactive transformer network for EEG emotion recognition,2024,PeerJ Computer Science,article,en,https://doi.org/10.7717/peerj-cs.2610,,,,,
1715,10.1109/taffc.2024.3371540,GDDN: Graph Domain Disentanglement Network for Generalizable EEG Emotion Recognition,2024,IEEE Transactions on Affective Computing,article,en,https://doi.org/10.1109/taffc.2024.3371540,,,,,
1716,10.1109/cac59555.2023.10450444,EEG-Based Cross-Subject Emotion Recognition Using GADF and CADAN,2023,,conference-paper,en,https://doi.org/10.1109/cac59555.2023.10450444,,,,,
1717,10.1109/eeit58928.2023.00017,Bimodal Physiological Emotion Recognition Using Information Contrastive Learning,2023,,conference-paper,en,https://doi.org/10.1109/eeit58928.2023.00017,,,,,
1718,10.1109/taffc.2025.3582740,Dynamical Causal Graph Neural Network for EEG Emotion Recognition,2025,IEEE Transactions on Affective Computing,article,en,https://doi.org/10.1109/taffc.2025.3582740,,,,,
1719,10.1016/j.knosys.2024.112587,Emotion recognition using cross-modal attention from EEG and facial expression,2024,Knowledge-Based Systems,article,en,https://doi.org/10.1016/j.knosys.2024.112587,,,,,
1720,10.3389/fnhum.2021.621493,MindLink-Eumpy: An Open-Source Python Toolbox for Multimodal Emotion Recognition,2021,Frontiers in Human Neuroscience,article,en,https://doi.org/10.3389/fnhum.2021.621493,,,,,
1721,10.1016/j.array.2021.100072,Emotion recognition from EEG-based relative power spectral topography using convolutional neural network,2021,Array,article,en,https://doi.org/10.1016/j.array.2021.100072,,,,,
1722,10.1109/iske47853.2019.9170317,Channel Selection Method Based on CNNSE for EEG Emotion Recognition,2019,,conference-paper,en,https://doi.org/10.1109/iske47853.2019.9170317,,,,,
1723,10.1088/1742-6596/2637/1/012047,Multi-modal Physiological Signal Fusion for Emotion Classification: A Multi-Head Attention Approach,2023,Journal of Physics Conference Series,conference-paper,en,https://doi.org/10.1088/1742-6596/2637/1/012047,,,,,
1724,10.1016/j.engappai.2025.113516,Dynamic topology-constrained spatiotemporal network for cognitive state decoding,2025,Engineering Applications of Artificial Intelligence,article,en,https://doi.org/10.1016/j.engappai.2025.113516,,,,,
1725,10.1109/lsens.2023.3307111,A Hierarchical Three-Dimensional MLP-Based Model for EEG Emotion Recognition,2023,IEEE Sensors Letters,article,en,https://doi.org/10.1109/lsens.2023.3307111,,,,,
1726,10.1109/jsen.2025.3625281,Portable EEG-Based Emotion Recognition Utilizing Flexible Brain Electrodes for Hairless Regions,2025,IEEE Sensors Journal,article,,https://doi.org/10.1109/jsen.2025.3625281,,,,,
1727,10.1007/s10044-016-0567-6,Emotion recognition from EEG signals by using multivariate empirical mode decomposition,2016,Pattern Analysis and Applications,article,en,https://doi.org/10.1007/s10044-016-0567-6,,,,,
1728,10.1109/iccss.2017.8091408,A novel deep-learning based framework for multi-subject emotion recognition,2017,"2017 4th International Conference on Information, Cybernetics and Computational Social Systems (ICCSS)",conference-paper,en,https://doi.org/10.1109/iccss.2017.8091408,,,,,
1729,10.1016/j.jsmc.2011.08.008,Common Misconceptions About Sleepwalking and Other Parasomnias,2011,Sleep Medicine Clinics,article,en,https://doi.org/10.1016/j.jsmc.2011.08.008,,,,,
1730,10.1101/2024.03.11.584477,Emotion arousal but not valence is strongly represented in aperiodic EEG activity stemming from thalamocortical interactions,2024,bioRxiv (Cold Spring Harbor Laboratory),preprint,en,https://doi.org/10.1101/2024.03.11.584477,,,,,
1731,10.1109/ijcnn64981.2025.11228023,CS-DAViT: Cross-Scale Vision Transformer with Dual Attention for Efficient Emotion Recognition,2025,,conference-paper,,https://doi.org/10.1109/ijcnn64981.2025.11228023,,,,,
1732,10.1109/tnnls.2023.3265730,Brain Emotion Perception Inspired EEG Emotion Recognition With Deep Reinforcement Learning,2023,IEEE Transactions on Neural Networks and Learning Systems,article,en,https://doi.org/10.1109/tnnls.2023.3265730,,,,,
1733,10.1109/phm2022-london52454.2022.00060,Human emotion recognition based on multi-channel EEG signals using LSTM neural network,2022,2022 Prognostics and Health Management Conference (PHM-2022 London),conference-paper,en,https://doi.org/10.1109/phm2022-london52454.2022.00060,,,,,
1734,10.3390/brainsci11111392,Manifold Feature Fusion with Dynamical Feature Selection for Cross-Subject Emotion Recognition,2021,Brain Sciences,article,en,https://doi.org/10.3390/brainsci11111392,,,,,
1735,10.1109/bibm.2017.8217815,Estimation of valence of emotion using two frontal EEG channels,2017,,conference-paper,en,https://doi.org/10.1109/bibm.2017.8217815,,,,,
1736,10.1145/3786588,MSDA-Net: Multi-source Domain Adaptive Network for Multi-modal Emotion Recognition,2025,ACM Transactions on Asian and Low-Resource Language Information Processing,article,en,https://doi.org/10.1145/3786588,,,,,
1737,10.1016/j.neunet.2024.107060,Emotion recognition using multi-scale EEG features through graph convolutional attention network,2024,Neural Networks,article,en,https://doi.org/10.1016/j.neunet.2024.107060,,,,,
1738,10.1109/iaecst57965.2022.10061937,EEG emotion recognition based on LMD fuzzy entropy,2022,,conference-paper,en,https://doi.org/10.1109/iaecst57965.2022.10061937,,,,,
1739,10.37896/ymer20.12/75,Application of Deep Learning for Emotion Recognition,2021,YMER Digital,article,en,https://doi.org/10.37896/ymer20.12/75,,,,,
1740,10.1016/j.neucom.2025.131822,A hybrid SGC-transformer network for EEG emotion recognition with historical data integration,2025,Neurocomputing,article,en,https://doi.org/10.1016/j.neucom.2025.131822,,,,,
1741,10.1109/tim.2023.3240230,EEG-Based Emotion Recognition for Hearing Impaired and Normal Individuals With Residual Feature Pyramids Network Based on Time–Frequency–Spatial Features,2023,IEEE Transactions on Instrumentation and Measurement,article,en,https://doi.org/10.1109/tim.2023.3240230,,,,,
1742,10.3389/fnins.2023.1148855,EEGformer: A transformer–based brain activity classification method using EEG signal,2023,Frontiers in Neuroscience,article,en,https://doi.org/10.3389/fnins.2023.1148855,,,,,
1743,10.1109/icitda60835.2023.10427131,Multi-Representation Convolutional Neural Network to Recognize Human Emotion,2023,,conference-paper,en,https://doi.org/10.1109/icitda60835.2023.10427131,,,,,
1744,10.2139/ssrn.4777374,A Novel End-to-End Eeg Classification Method Based on 1d Cnn and the Improved Transformer Encoder,2024,SSRN Electronic Journal,preprint,en,https://doi.org/10.2139/ssrn.4777374,,,,,
1745,10.18196/jrc.v6i4.26725,A Transformer-Enhanced CNN Framework for EEG Emotion Detection with Lightweight Gray Wolf Optimization and SHAP Analysis,2025,Journal of Robotics and Control (JRC),article,,https://doi.org/10.18196/jrc.v6i4.26725,,,,,
1746,10.1504/ijbic.2024.10064033,EEG-based emotion recognition via Improved Evolutionary Convolutional Neural Network,2024,International Journal of Bio-Inspired Computation,article,en,https://doi.org/10.1504/ijbic.2024.10064033,,,,,
1747,10.36227/techrxiv.17056961.v1,JDAT: Joint-Dimension-Aware Transformer with Strong Flexibility for EEG Emotion Recognition,2021,,preprint,en,https://doi.org/10.36227/techrxiv.17056961.v1,,,,,
1748,10.1109/icassp49660.2025.10890602,Global Context MambaVision for EEG-based Emotion Recognition,2025,,conference-paper,en,https://doi.org/10.1109/icassp49660.2025.10890602,,,,,
1749,10.1109/access.2024.3463746,Advancing Emotional Health Assessments: A Hybrid Deep Learning Approach Using Physiological Signals for Robust Emotion Recognition,2024,IEEE Access,article,en,https://doi.org/10.1109/access.2024.3463746,,,,,
1750,10.1007/s12652-023-04746-y,EEG emotion recognition framework based on invariant wavelet scattering convolution network,2024,Journal of Ambient Intelligence and Humanized Computing,article,en,https://doi.org/10.1007/s12652-023-04746-y,,,,,
1751,10.2139/ssrn.5290344,Dafnet: A Dual-Path Attention Fusion Network for Eeg Emotion Recognition Via Cnn and Graph-Based Global Modeling,2025,SSRN Electronic Journal,preprint,en,https://doi.org/10.2139/ssrn.5290344,,,,,
1752,10.1360/n112018-00337,A review of EEG features for emotion recognition,2019,Scientia Sinica Informationis,article,en,https://doi.org/10.1360/n112018-00337,,,,,
1753,10.22266/ijies2024.0229.71,EEG-Based Emotion Classification: A Biologically Informed Channel Selection Approach,2023,International journal of intelligent engineering and systems,article,en,https://doi.org/10.22266/ijies2024.0229.71,,,,,
1754,10.2139/ssrn.4780971,Mss-Jda: Multi-Source Self-Selected Joint Domain Adaptation Method Based on Cross-Subject Eeg Emotion Recognition,2024,SSRN Electronic Journal,preprint,en,https://doi.org/10.2139/ssrn.4780971,,,,,
1755,10.3390/s21051792,Learning Subject-Generalized Topographical EEG Embeddings Using Deep Variational Autoencoders and Domain-Adversarial Regularization,2021,Sensors,article,en,https://doi.org/10.3390/s21051792,,,,,
1756,,DEAP Based Individual's Emotion Detection through Computed EEG and Facial Expression Analysis,2018,International journal of advance research and innovative ideas in education,article,en,,,,,,
1757,10.1109/jbhi.2021.3083525,3DCANN: A Spatio-Temporal Convolution Attention Neural Network for EEG Emotion Recognition,2021,IEEE Journal of Biomedical and Health Informatics,article,en,https://doi.org/10.1109/jbhi.2021.3083525,,,,,
1758,10.1109/access.2021.3054670,EEG Classification by Factoring in Sensor Spatial Configuration,2021,IEEE Access,article,en,https://doi.org/10.1109/access.2021.3054670,,,,,
1759,10.1109/ecace.2019.8679156,Wavelet Analysis Based Classification of Emotion from EEG Signal,2019,,conference-paper,en,https://doi.org/10.1109/ecace.2019.8679156,,,,,
1760,10.3390/computers9020033,Evaluation of Features in Detection of Dislike Responses to Audio–Visual Stimuli from EEG Signals,2020,Computers,article,en,https://doi.org/10.3390/computers9020033,,,,,
1761,10.1093/comjnl/bxaf119,ECaps-GTR: optimizing spatiotemporal EEG emotion recognition via the augmented capsule-gated transformer,2025,The Computer Journal,article,en,https://doi.org/10.1093/comjnl/bxaf119,,,,,
1762,10.1007/978-3-031-75543-9_9,"Emotion Recognition Method Based on EEG Signal Processing, Simplified Inception Network and Discrete Model",2024,Lecture notes in computer science,conference-paper,en,https://doi.org/10.1007/978-3-031-75543-9_9,,,,,
1763,10.1109/bibm52615.2021.9669542,Cross-Subject EEG Emotion Recognition Using Domain Adaptive Few-Shot Learning Networks,2021,2021 IEEE International Conference on Bioinformatics and Biomedicine (BIBM),conference-paper,en,https://doi.org/10.1109/bibm52615.2021.9669542,,,,,
1764,,Implementation of welch pre-processing in SVM algorithm for improved accuracy on EEG data,2024,UMS Institutional Repository (Universiti Malaysia Sabah),article,en,https://eprints.ums.edu.my/id/eprint/41027/1/ABSTRACT.pdf,,,,,
1765,10.2139/ssrn.4907579,A Fine-Grained Hemispheric Asymmetry Network for Accurate and Interpretable Eeg-Based Emotion Classification,2024,SSRN Electronic Journal,preprint,en,http://dx.doi.org/10.2139/ssrn.4907579,,,,,
1766,10.3390/s23187749,EEG-Based Emotion Recognition with Consideration of Individual Difference,2023,Sensors,article,en,https://doi.org/10.3390/s23187749,,,,,
1767,10.48550/arxiv.2202.05400,PARSE: Pairwise Alignment of Representations in Semi-Supervised EEG Learning for Emotion Recognition,2022,arXiv (Cornell University),preprint,en,http://arxiv.org/abs/2202.05400,,,,,
1768,10.1016/j.bspc.2022.104314,Similarity constraint style transfer mapping for emotion recognition,2022,Biomedical Signal Processing and Control,article,en,https://doi.org/10.1016/j.bspc.2022.104314,,,,,
1769,10.1109/embc46164.2021.9629649,Reducing the Calibration Effort of EEG Emotion Recognition using Domain Adaptation with Soft Labels,2021,2021 43rd Annual International Conference of the IEEE Engineering in Medicine &amp; Biology Society (EMBC),conference-paper,en,https://doi.org/10.1109/embc46164.2021.9629649,,,,,
1770,10.1177/15500594251364017,BiLSTM-Based Human Emotion Classification Using EEG Signal,2025,Clinical EEG and Neuroscience,article,en,https://doi.org/10.1177/15500594251364017,,,,,
1771,10.1016/j.bspc.2023.105875,A subject-independent portable emotion recognition system using synchrosqueezing wavelet transform maps of EEG signals and ResNet-18,2023,Biomedical Signal Processing and Control,article,en,https://doi.org/10.1016/j.bspc.2023.105875,,,,,
1772,10.1109/taffc.2024.3385651,FBSTCNet: A Spatio-Temporal Convolutional Network Integrating Power and Connectivity Features for EEG-Based Emotion Decoding,2024,IEEE Transactions on Affective Computing,article,en,https://doi.org/10.1109/taffc.2024.3385651,,,,,
1773,10.1109/ijcnn64981.2025.11228384,BCRNet: A Lightweight Branched Convolutional Neural Network Enhanced with Riemannian Geometry for End-to-End EEG-Based Emotion Recognition,2025,,conference-paper,,https://doi.org/10.1109/ijcnn64981.2025.11228384,,,,,
1774,10.1145/3638985.3639024,Enhancing Sentiment Analysis on SEED-IV Dataset with Vision Transformers: A Comparative Study,2023,,conference-paper,en,https://doi.org/10.1145/3638985.3639024,,,,,
1775,10.31083/jin44121,A Multi-Teacher Distilling Framework With Data Privacy for EEG Emotion Recognition,2025,Journal of Integrative Neuroscience,article,en,https://doi.org/10.31083/jin44121,,,,,
1776,10.1109/icsp62122.2024.10743301,EEG-Based Emotion Recognition with EERN Model,2024,,conference-paper,en,https://doi.org/10.1109/icsp62122.2024.10743301,,,,,
1777,10.1007/978-981-16-2336-3_3,EEG-Based Emotion Recognition Using Convolutional Neural Network with Functional Connections,2021,Communications in computer and information science,conference-paper,en,https://doi.org/10.1007/978-981-16-2336-3_3,,,,,
1778,10.1109/access.2023.3266804,Emotion Recognition Using Temporally Localized Emotional Events in EEG With Naturalistic Context: DENS# Dataset,2023,IEEE Access,article,en,https://doi.org/10.1109/access.2023.3266804,,,,,
1779,10.1109/aciiw63320.2024.00038,Emotion Recognition Based on EEG Signals and Deep Neural Networks Architectures,2024,,conference-paper,en,https://doi.org/10.1109/aciiw63320.2024.00038,,,,,
1780,10.1007/978-3-031-20102-8_15,Channel Selection for EEG Emotion Recognition via an Enhanced Firefly Algorithm with Brightness-Distance Attraction,2023,Lecture notes in computer science,conference-paper,en,https://doi.org/10.1007/978-3-031-20102-8_15,,,,,
1781,10.1007/s44443-025-00411-w,EmoDNCL+: Dual-stream negative-sample-free contrastive learning with neurophysiological augmentation for EEG emotion recognition,2025,Journal of King Saud University - Computer and Information Sciences,article,en,https://doi.org/10.1007/s44443-025-00411-w,,,,,
1782,10.1109/icicta.2018.00031,Emotion Recognition and Channel Selection Based on EEG Signal,2018,,conference-paper,en,https://doi.org/10.1109/icicta.2018.00031,,,,,
1783,10.1109/embc.2015.7319766,Recognizing emotions from EEG subbands using wavelet analysis,2015,,conference-paper,en,http://hdl.handle.net/10453/37087,,,,,
1784,10.1007/s11517-025-03384-0,Auxiliary classifier adversarial networks with maximum subdomain discrepancy for EEG-based emotion recognition,2025,Medical & Biological Engineering & Computing,article,en,https://doi.org/10.1007/s11517-025-03384-0,,,,,
1785,10.22266/ijies2025.0331.30,An Efficient EEG Based Emotion Classification Using Optimized Supported Vector Machin Based on Dynamic GOA Algorithm,2025,International journal of intelligent engineering and systems,article,en,https://doi.org/10.22266/ijies2025.0331.30,,,,,
1786,10.1109/ictacs56270.2022.9988427,Emotion Detection using EEG Signals with Ensemble Learning,2022,2022 2nd International Conference on Technological Advancements in Computational Sciences (ICTACS),conference-paper,en,https://doi.org/10.1109/ictacs56270.2022.9988427,,,,,
1787,10.1109/ijcnn48605.2020.9207420,A 3D Convolutional Neural Network for Emotion Recognition based on EEG Signals,2020,,conference-paper,en,https://doi.org/10.1109/ijcnn48605.2020.9207420,,,,,
1788,10.36227/techrxiv.171043104.48942295/v1,EEG based Emotion Prediction based on Audio Visual Stimulation using En-FS and SEn-G model,2024,,preprint,en,https://doi.org/10.36227/techrxiv.171043104.48942295/v1,,,,,
1789,10.1007/s10044-023-01136-0,EEG-based emotion recognition with cascaded convolutional recurrent neural networks,2023,Pattern Analysis and Applications,article,en,https://doi.org/10.1007/s10044-023-01136-0,,,,,
1790,10.1109/tcds.2022.3147839,Residual GCB-Net: Residual Graph Convolutional Broad Network on Emotion Recognition,2022,IEEE Transactions on Cognitive and Developmental Systems,article,en,https://figshare.com/articles/software/Residual_GCB-Net_Residual_Graph_Convolutional_Broad_Network_on_Emotion_Recognition/26135221,,,,,
1791,10.3389/fnhum.2023.1174104,Enhancing the accuracy of electroencephalogram-based emotion recognition through Long Short-Term Memory recurrent deep neural networks,2023,Frontiers in Human Neuroscience,article,en,https://doi.org/10.3389/fnhum.2023.1174104,,,,,
1792,10.30534/ijatcse/2021/031012021,A Comparative Analysis of Time-frequency Feature Extraction Techniques for Large Scale Electroencephalogram Data,2021,International Journal of Advanced Trends in Computer Science and Engineering,article,en,https://doi.org/10.30534/ijatcse/2021/031012021,,,,,
1793,10.1016/j.bspc.2022.103544,Recognition of emotional states using frequency effective connectivity maps through transfer learning approach from electroencephalogram signals,2022,Biomedical Signal Processing and Control,article,en,https://doi.org/10.1016/j.bspc.2022.103544,,,,,
1794,10.1109/taffc.2025.3551330,Identifying Stable EEG Patterns in Manipulation Task for Negative Emotion Recognition,2025,IEEE Transactions on Affective Computing,article,en,https://doi.org/10.1109/taffc.2025.3551330,,,,,
1795,10.1080/10255842.2025.2484557,An adaptive graph convolutional network with residual attention for emotion recognition,2025,Computer Methods in Biomechanics & Biomedical Engineering,article,en,https://doi.org/10.1080/10255842.2025.2484557,,,,,
1796,10.3390/electronics12234717,A Fine-Grained Approach for EEG-Based Emotion Recognition Using Clustering and Hybrid Deep Neural Networks,2023,Electronics,article,en,https://doi.org/10.3390/electronics12234717,,,,,
1797,10.1109/icsccc58608.2023.10176510,Emotion Recognition based on fusion of multimodal physiological signals using LSTM and GRU,2023,,conference-paper,en,https://doi.org/10.1109/icsccc58608.2023.10176510,,,,,
1798,10.5665/sleep.4516,Lucid Dreaming in Narcolepsy,2015,SLEEP,article,en,https://www.ncbi.nlm.nih.gov/pmc/articles/4335518,,,,,
1799,10.48550/arxiv.2204.09016,Benchmarking Domain Generalization on EEG-based Emotion Recognition,2022,arXiv (Cornell University),preprint,en,http://arxiv.org/abs/2204.09016,,,,,
1800,10.23919/spa65537.2025.11215097,Leveraging Machine Learning and Feature Extraction from Physiological Signals for Emotion Detection,2025,,conference-paper,,https://doi.org/10.23919/spa65537.2025.11215097,,,,,
1801,10.1109/icbme68496.2025.11392098,Region-Specific Eeg Channel-Based Emotion Detection Using Bi-Directional Deep Neural Networks,2025,,conference-paper,,https://doi.org/10.1109/icbme68496.2025.11392098,,,,,
1802,10.1007/s11571-025-10396-x,EEG emotion recognition based on hierarchical multi-scale graph neural networks,2025,Cognitive Neurodynamics,article,en,https://pmc.ncbi.nlm.nih.gov/articles/PMC12743044/,,,,,
1803,10.1109/tim.2025.3590828,CoAdapt: Collaborative Adaptation Between Latent EEG Feature Representation and Annotation for Emotion Decoding,2025,IEEE Transactions on Instrumentation and Measurement,article,en,https://doi.org/10.1109/tim.2025.3590828,,,,,
1804,10.3390/s25061827,Enhancing EEG-Based Emotion Detection with Hybrid Models: Insights from DEAP Dataset Applications,2025,Sensors,article,en,https://doi.org/10.3390/s25061827,,,,,
1805,10.1016/j.bspc.2024.106323,FBN-TCN: Temporal convolutional neural network based on spatial domain fusion brain networks for affective brain–computer interfaces,2024,Biomedical Signal Processing and Control,article,en,https://doi.org/10.1016/j.bspc.2024.106323,,,,,
1806,10.1109/bibm58861.2023.10385831,Multi-Modal Network based on Spatio-temporal and Attention for Emotion Recognition,2023,,conference-paper,en,https://doi.org/10.1109/bibm58861.2023.10385831,,,,,
1807,10.1109/icaeca56562.2023.10199350,Emotion Recognition using EEG Signal Classification of seed Dataset,2023,,conference-paper,en,https://doi.org/10.1109/icaeca56562.2023.10199350,,,,,
1808,10.1016/j.neuroimage.2013.11.007,Multimodal fusion framework: A multiresolution approach for emotion classification and recognition from physiological signals,2013,NeuroImage,article,en,https://doi.org/10.1016/j.neuroimage.2013.11.007,,,,,
1809,10.1016/j.procs.2019.09.013,Classification of Emotional State Based on EEG Signal using AMGLVQ,2019,Procedia Computer Science,conference-paper,en,https://doi.org/10.1016/j.procs.2019.09.013,,,,,
1810,,Emotion Analysis Using Heart Rate Data.,2019,,article,en,,,,,,
1811,10.1007/s11571-025-10324-z,Emotion recognition of CNN bidirectional long short-term memory with center and Softmax loss function (CNN-BiLSTM-CS) EEG -based,2025,Cognitive Neurodynamics,article,en,https://pmc.ncbi.nlm.nih.gov/articles/PMC12373578/,,,,,
1812,10.1504/ijbet.2020.111475,Automated emotion state classification using higher order spectra and interval features of EEG,2020,International Journal of Biomedical Engineering and Technology,article,en,https://doi.org/10.1504/ijbet.2020.111475,,,,,
1813,10.1109/taffc.2025.3588873,A Novel Conditional Adversarial Domain Adaptation Network for EEG Cross-Subject Emotion Recognition,2025,IEEE Transactions on Affective Computing,article,en,https://doi.org/10.1109/taffc.2025.3588873,,,,,
1814,10.2139/ssrn.4663962,Emotion Recognition Using Cross-Modal Attention from Eeg and Facial Expression,2023,SSRN Electronic Journal,preprint,en,https://doi.org/10.2139/ssrn.4663962,,,,,
1815,10.2139/ssrn.4979156,A Multi-Branch Electroencephalogram Emotion Recognition Framework Based on Cross-Subject or Cross-Session Multi-Perspective Representation Fusion,2024,SSRN Electronic Journal,preprint,en,https://doi.org/10.2139/ssrn.4979156,,,,,
1816,10.22214/ijraset.2024.59255,Emotion Recognition from Brain EEG Signals,2024,International Journal for Research in Applied Science and Engineering Technology,article,en,https://doi.org/10.22214/ijraset.2024.59255,,,,,
1817,10.1016/j.inffus.2025.103279,A self-supervised data augmentation strategy for EEG-based emotion recognition,2025,Information Fusion,article,en,https://doi.org/10.1016/j.inffus.2025.103279,,,,,
